ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage_kms,Engine_cc,Power_bhp,Seats,New_Price_Lakh,Price,Price_Difference_Lakh
77,Toyota Innova 2.0 G1,Chennai,2006,230000,0,0,Third,12.4,1998.0,132.0,8.0,20.48,4.5,15.98
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,1,0,First,12.8,2494.0,102.0,7.0,20.48,11.75,8.73
80,Maruti Swift VDI,Jaipur,2012,95100,1,0,First,22.9,1248.0,74.0,5.0,20.48,3.75,16.73
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,0,0,First,17.57,1193.0,88.7,5.0,6.67,4.5,2.17
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,0,0,First,18.0,1198.0,86.7,5.0,20.48,4.82,15.66
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,1,0,First,20.0,1399.0,68.0,5.0,20.48,2.8,17.68
84,Maruti Ritz VDi,Jaipur,2013,99638,1,0,First,23.2,1248.0,73.94,5.0,20.48,3.11,17.37
85,Honda City i VTEC E,Delhi,2009,52000,0,0,First,17.8,1497.0,117.3,5.0,20.48,3.25,17.23
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,1,1,Second,16.73,1995.0,218.0,5.0,20.48,13.9,6.58
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,0,0,First,20.36,1197.0,78.9,5.0,20.48,2.25,18.23
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,0,0,First,18.9,1197.0,82.0,5.0,20.48,5.75,14.73
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,0,0,First,17.8,1198.0,86.7,5.0,20.48,5.0,15.48
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,1,0,First,13.0,2982.0,168.5,7.0,20.48,16.5,3.9800000000000004
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,1,1,First,17.68,1968.0,174.33,5.0,20.48,39.58,-19.099999999999998
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,1,0,First,22.7,1498.0,89.84,5.0,20.48,5.5,14.98
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,1,0,First,15.1,2179.0,140.0,7.0,20.48,8.1,12.38
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,1,0,First,25.8,1498.0,98.6,5.0,20.48,3.5,16.98
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,1,0,First,22.07,1199.0,73.9,5.0,20.48,2.79,17.69
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,1,0,First,16.2,1493.0,110.0,5.0,20.48,3.45,17.03
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,0,0,First,18.9,998.0,67.1,5.0,20.48,4.45,16.03
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,0,0,First,15.26,1598.0,103.5,5.0,20.48,2.65,17.830000000000002
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,1,0,Second,23.0,1396.0,90.0,5.0,20.48,3.8,16.68
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,0,0,First,18.5,1197.0,82.85,5.0,20.48,4.65,15.83
102,Datsun GO Plus T Petrol,Pune,2017,32851,0,0,First,19.83,1198.0,67.0,7.0,6.45,3.95,2.5
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,1,1,First,14.94,2967.0,241.4,5.0,20.48,9.8,10.68
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,0,0,Second,17.0,1197.0,80.0,5.0,20.48,2.7,17.78
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,0,0,First,14.0,796.0,35.0,5.0,20.48,2.41,18.07
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,0,0,First,17.71,1197.0,78.9,5.0,6.41,3.9,2.5100000000000002
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,1,1,Second,14.74,2993.0,270.9,5.0,20.48,24.0,-3.5199999999999996
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,1,0,Second,16.0,2179.0,140.0,7.0,20.48,5.75,14.73
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,1,1,First,22.32,1582.0,126.32,5.0,20.48,5.25,15.23
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,1,1,First,11.36,2755.0,171.5,7.0,27.0,19.25,7.75
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,0,0,First,15.1,1196.0,73.0,5.0,5.13,3.91,1.2199999999999998
112,Tata Nano Twist XT,Bangalore,2014,25500,0,0,First,25.4,624.0,37.5,4.0,20.48,2.15,18.330000000000002
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,1,1,First,22.69,1995.0,190.0,5.0,54.43,20.75,33.68
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,0,0,First,13.5,1799.0,130.0,5.0,20.48,3.35,17.13
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,1,0,First,12.99,2494.0,100.6,7.0,20.48,11.11,9.370000000000001
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,1,1,First,23.3,1984.0,150.0,5.0,20.48,20.0,0.4800000000000004
117,Nissan Micra XV CVT,Coimbatore,2016,39882,0,1,First,19.15,1198.0,75.94,5.0,9.51,6.55,2.96
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,0,1,First,10.8,2497.0,215.0,5.0,20.48,7.0,13.48
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,1,0,First,24.3,1248.0,88.5,5.0,9.96,7.5,2.460000000000001
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,1,1,Second,15.0,2143.0,107.3,5.0,20.48,16.75,3.7300000000000004
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,1,0,First,22.0,1582.0,126.2,5.0,14.44,10.95,3.49
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,0,0,First,18.9,998.0,67.1,5.0,20.48,2.45,18.03
124,Tata Nano XTA,Coimbatore,2017,32684,0,1,First,21.9,624.0,37.48,4.0,20.48,3.23,17.25
125,Mahindra Scorpio VLX,Kolkata,2014,42000,1,0,First,12.05,2179.0,120.0,8.0,20.48,7.75,12.73
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,0,1,First,11.7,1796.0,178.0,5.0,20.48,9.35,11.13
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,0,0,Second,10.8,2354.0,152.0,5.0,20.48,5.25,15.23
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,1,1,First,21.21,1498.0,103.2,5.0,20.48,7.25,13.23
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,0,0,First,20.73,1373.0,91.1,5.0,20.48,7.47,13.010000000000002
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,1,1,First,16.0,2179.0,140.0,7.0,20.48,13.25,7.23
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,0,0,First,21.1,1197.0,85.8,5.0,20.48,5.81,14.670000000000002
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,0,0,First,24.07,998.0,67.1,5.0,4.53,2.6,1.9300000000000002
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,0,1,First,19.0,2996.0,362.07,2.0,95.04,54.0,41.040000000000006
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,0,1,First,17.0,1591.0,121.3,5.0,13.49,11.5,1.9900000000000002
136,Maruti Alto LXi BSIII,Chennai,2010,94385,0,0,Second,19.7,796.0,46.3,5.0,20.48,1.6,18.88
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,1,1,First,20.58,1995.0,143.0,5.0,20.48,17.22,3.2600000000000016
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,0,1,First,19.0,1199.0,88.7,5.0,20.48,6.0,14.48
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,0,0,First,13.5,1799.0,130.0,5.0,20.48,3.95,16.53
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,1,1,First,19.27,2143.0,170.0,5.0,20.48,17.95,2.530000000000001
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,1,0,First,25.8,1498.0,98.6,5.0,20.48,3.7,16.78
142,Maruti Swift VVT VXI,Kochi,2016,34204,0,0,First,22.0,1197.0,81.8,5.0,20.48,5.43,15.05
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,1,0,First,11.5,2982.0,171.0,7.0,20.48,13.49,6.99
145,Chevrolet Beat LT Option,Pune,2014,38800,0,0,First,18.6,1199.0,76.8,5.0,20.48,2.85,17.63
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,1,0,First,21.14,1498.0,103.52,5.0,20.48,4.75,15.73
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,0,0,First,20.73,1373.0,91.1,5.0,20.48,9.9,10.58
148,Audi RS5 Coupe,Mumbai,2013,23000,0,1,First,11.05,2894.0,444.0,4.0,1.28,37.0,-35.72
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,1,1,First,21.76,1995.0,190.0,5.0,60.88,26.5,34.38
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,1,1,First,17.11,1968.0,174.33,5.0,20.48,23.32,-2.84
151,Maruti Swift VDI,Chennai,2016,35000,1,0,First,22.9,1248.0,74.0,5.0,20.48,6.25,14.23
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,0,1,First,7.81,5461.0,362.9,5.0,20.48,30.0,-9.52
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,1,1,First,21.66,1498.0,103.52,5.0,20.48,9.86,10.620000000000001
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,1,1,First,17.2,1968.0,138.1,5.0,20.48,8.5,11.98
155,Hyundai EON Magna Plus,Kochi,2019,14322,0,0,First,21.1,814.0,55.2,5.0,20.48,4.23,16.25
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,1,0,First,22.07,1199.0,73.9,5.0,20.48,3.5,16.98
157,Datsun GO NXT,Kolkata,2016,6000,0,0,First,20.63,1198.0,67.06,5.0,20.48,2.5,17.98
158,Honda Brio S MT,Kolkata,2013,33280,0,0,First,19.4,1198.0,86.8,5.0,20.48,2.39,18.09
159,Mercedes-Benz B Class B180,Delhi,2013,29000,0,1,First,14.8,1595.0,120.7,5.0,20.48,11.25,9.23
160,Honda City i DTEC V,Kochi,2015,42831,1,0,First,26.0,1498.0,98.6,5.0,20.48,7.11,13.370000000000001
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,1,0,First,12.99,2494.0,100.6,7.0,20.48,10.9,9.58
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,0,0,First,20.4,1197.0,81.8,5.0,20.48,6.2,14.280000000000001
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,1,0,First,15.1,2179.0,140.0,7.0,20.48,7.9,12.58
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,1,0,First,22.7,1498.0,89.84,5.0,20.48,4.42,16.060000000000002
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,1,0,First,13.0,2982.0,168.5,7.0,20.48,13.5,6.98
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,1,1,First,21.5,1498.0,108.5,5.0,20.48,6.25,14.23
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,1,0,Second,20.0,1399.0,68.0,5.0,20.48,2.1,18.38
168,BMW X5 xDrive 30d,Mumbai,2015,41000,1,1,First,15.3,2993.0,258.0,5.0,20.48,45.0,-24.52
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,1,1,First,19.27,2143.0,167.62,5.0,20.48,33.66,-13.179999999999996
170,Honda Brio V MT,Bangalore,2012,45000,0,0,Second,19.4,1198.0,86.8,5.0,20.48,3.65,16.830000000000002
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,0,0,First,20.36,1197.0,78.9,5.0,20.48,2.75,17.73
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,1,1,First,17.9,2143.0,170.0,5.0,20.48,42.5,-22.02
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,0,0,First,18.9,1197.0,81.86,5.0,7.39,6.5,0.8899999999999997
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,1,1,Second,17.68,1968.0,174.33,5.0,20.48,19.0,1.4800000000000004
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,0,1,Second,14.4,1598.0,103.6,5.0,20.48,4.45,16.03
176,Mini Countryman Cooper D,Jaipur,2017,8525,1,1,Second,16.6,1998.0,112.0,5.0,20.48,23.0,-2.5199999999999996
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,1,0,First,22.54,1396.0,88.73,5.0,20.48,8.35,12.13
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,1,1,First,17.68,1968.0,174.33,5.0,20.48,22.95,-2.469999999999999
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,1,0,First,25.44,936.0,57.6,5.0,20.48,1.5,18.98
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,0,1,First,13.7,1798.0,157.75,5.0,20.48,6.89,13.59
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,1,0,Second,17.8,1399.0,68.0,5.0,20.48,1.45,19.03
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,1,1,First,22.48,1995.0,190.0,5.0,69.47,33.5,35.97
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,0,0,First,12.9,1598.0,102.5,5.0,20.48,1.25,19.23
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,1,0,First,22.07,1199.0,73.9,5.0,20.48,4.2,16.28
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,1,0,First,19.98,1461.0,108.5,8.0,20.48,6.75,13.73
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,1,1,First,13.0,2143.0,201.1,5.0,20.48,32.0,-11.52
187,Maruti Baleno Alpha,Kochi,2017,24773,0,0,First,21.4,1197.0,83.1,5.0,8.78,7.5,1.2799999999999994
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,1,0,First,22.32,1582.0,126.32,5.0,20.48,4.6,15.88
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,0,0,First,19.81,1086.0,68.05,5.0,20.48,4.04,16.44
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,1,0,First,15.4,1997.0,120.0,7.0,20.48,10.31,10.17
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,1,1,First,12.7,2179.0,187.7,5.0,20.48,55.76,-35.28
192,Ford Figo Diesel ZXI,Chennai,2010,120000,1,0,First,20.0,1399.0,68.0,5.0,20.48,2.6,17.88
193,Maruti Ertiga ZDI,Mumbai,2016,33000,1,0,First,25.47,1248.0,88.5,7.0,12.74,8.5,4.24
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,1,0,First,25.8,1498.0,98.6,5.0,20.48,3.5,16.98
196,Hyundai i10 Magna,Jaipur,2015,43571,0,0,First,20.36,1197.0,78.9,5.0,20.48,3.55,16.93
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,1,0,First,25.8,1498.0,98.6,5.0,20.48,3.25,17.23
198,Skoda Laura Ambiente,Hyderabad,2008,113000,1,0,First,17.5,1896.0,106.0,5.0,20.48,4.5,15.98
199,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,1,0,First,19.87,1461.0,83.8,5.0,20.48,5.35,15.13
200,Mahindra NuvoSport N6,Chennai,2017,29000,1,0,Second,17.45,1493.0,100.0,7.0,10.52,6.5,4.02
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,1,0,First,24.3,1248.0,88.5,5.0,11.98,9.0,2.9800000000000004
202,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,0,0,First,18.6,1197.0,81.83,5.0,20.48,6.0,14.48
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,0,0,First,14.7,1390.0,85.0,5.0,20.48,2.75,17.73
204,Tata Indigo eCS GLX,Pune,2010,70500,0,0,First,15.64,1193.0,64.1,5.0,20.48,1.5,18.98
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,1,1,First,15.73,1968.0,174.33,5.0,20.48,19.9,0.5800000000000018
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,0,1,First,14.7,1798.0,177.5,5.0,20.48,10.0,10.48
207,Toyota Etios Liva GD SP,Delhi,2014,104000,1,0,First,23.59,1364.0,67.06,5.0,20.48,3.0,17.48
209,Mercedes-Benz B Class B180,Kochi,2014,37245,0,1,First,14.8,1595.0,120.7,5.0,20.48,11.96,8.52
210,Honda Amaze S Diesel,Kolkata,2013,45000,1,0,First,27.4,1498.0,98.6,5.0,8.54,3.25,5.289999999999999
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,1,0,Second,22.32,1582.0,126.32,5.0,20.48,4.75,15.73
